,Task,MaxPointInContest,ParticipantsCount,ACCount,TotalPointInContest,DifficultyMultiplier
347,fct013_areasum,50.0,45.0,17,932.0,1.5
348,fct013_function,50.0,45.0,43,2150.0,1.5
349,fct013_roadrail2,50.0,45.0,0,197.0,1.5
350,fct013_robot,50.0,45.0,24,1284.0,1.5
351,fct014_beautarr,50.0,43.0,26,1410.0,1.5
352,fct014_minrect,50.0,43.0,41,2050.0,1.5
353,fct014_orandarray,50.0,43.0,7,397.0,1.5
354,fct014_ribgame,50.0,43.0,9,824.0,1.5
355,fct014_spacetravel,50.0,43.0,1,254.0,1.5
356,fc123_balls,50.0,53.0,48,2400.0,1.5
357,fc123_beasubarr,50.0,53.0,2,487.0,1.5
358,fc123_group,50.0,53.0,2,145.0,1.5
359,fc123_jump,50.0,53.0,30,1667.0,1.5
360,fc123_zshape,50.0,53.0,3,385.0,1.5
361,fcb028_lagrange,50.0,105.0,70,3826.0,0.75
362,fcb028_vacuum,50.0,105.0,22,1692.0,0.75
363,fcb028_bits,50.0,105.0,23,1981.0,0.75
364,fcb028_nearest,50.0,105.0,35,2071.0,0.75
365,fcb028_agrtree,50.0,105.0,12,1247.0,0.75
366,fc124_binarystring,50.0,51.0,48,2490.0,1.5
367,fc124_gmine,50.0,51.0,18,1305.0,1.5
368,fc124_coprime,50.0,51.0,7,472.0,1.5
369,fc124_stevestring,50.0,51.0,9,550.0,1.5
370,fc124_numtree,50.0,51.0,0,54.0,1.5
371,fcb029_difnple,50.0,52.0,51,2570.0,0.75
372,fcb029_prefix,50.0,52.0,50,2560.0,0.75
373,fcb029_replacesum,50.0,52.0,16,1325.0,0.75
374,fcb029_dmath,50.0,52.0,1,230.0,0.75
375,fcb029_trinnum,50.0,52.0,4,349.0,0.75
376,fc125_beat,50.0,36.0,10,794.0,1.5
377,fc125_daohang,50.0,36.0,1,50.0,1.5
378,fc125_fear,50.0,36.0,10,570.0,1.5
379,fc125_gcdarr,50.0,36.0,14,1021.0,1.5
380,fc125_racingboy,50.0,36.0,0,30.0,1.5
381,fcb030_tribeau,50.0,123.0,110,5650.0,0.75
382,fcb030_starf,50.0,123.0,98,4960.0,0.75
383,fcb030_unique,50.0,123.0,100,5240.0,0.75
384,fcb030_strin,50.0,123.0,69,3483.0,0.75
385,fcb030_divisorpart,50.0,123.0,22,1745.0,0.75
386,fc126_letters,50.0,111.0,89,4970.0,1.5
387,fc126_kperm,50.0,111.0,60,3276.0,1.5
388,fc126_k-number,50.0,111.0,45,2355.0,1.5
389,fc126_atravel,50.0,111.0,13,1142.0,1.5
390,fc126_candy,50.0,111.0,3,176.0,1.5
391,fct016_aquery2,50.0,92.0,76,4153.0,1.5
392,fct016_cprefix,50.0,92.0,33,2140.0,1.5
393,fct016_mwpath,50.0,92.0,6,630.0,1.5
394,fct016_taskset,50.0,92.0,60,3340.0,1.5
395,fct016_warp,50.0,92.0,13,732.0,1.5
396,fcb031_present,50.0,119.0,93,4650.0,0.75
397,fcb031_marec,50.0,119.0,96,5015.0,0.75
398,fcb031_typing,50.0,119.0,80,4184.0,0.75
399,fcb031_sqfree,50.0,119.0,52,3550.0,0.75
400,fcb031_aid,50.0,119.0,5,260.0,0.75
401,fct017_dsum,50.0,110.0,106,5300.0,1.5
402,fct017_giangseq,50.0,110.0,6,493.0,1.5
403,fct017_grcolor,50.0,110.0,7,1086.0,1.5
404,fct017_height,50.0,110.0,68,3925.0,1.5
405,fct017_seq3n,50.0,110.0,27,1989.0,1.5
406,fc127_npyramid,50.0,77.0,56,2800.0,1.5
407,fc127_robot,50.0,77.0,29,2099.0,1.5
408,fc127_discount,50.0,77.0,5,608.0,1.5
409,fc127_digits,50.0,77.0,7,378.0,1.5
410,fc127_tanchan,50.0,77.0,9,965.0,1.5
411,fcb032_calc,50.0,111.0,106,5405.0,0.75
412,fcb032_multitable,50.0,111.0,102,5110.0,0.75
413,fcb032_fnhouses,50.0,111.0,50,2754.0,0.75
414,fcb032_socola,50.0,111.0,61,3166.0,0.75
415,fcb032_count,50.0,111.0,21,1612.0,0.75
416,fc128_vsum,50.0,113.0,101,5370.0,1.5
417,fc128_strict,50.0,113.0,54,2943.0,1.5
418,fc128_lock,50.0,113.0,8,1008.0,1.5
419,fc128_sequenceweight,50.0,113.0,34,1815.0,1.5
420,fc128_signals,50.0,113.0,1,110.0,1.5
421,fct018_actor,50.0,87.0,31,2463.0,1.5
422,fct018_sub,50.0,87.0,63,3459.0,1.5
423,fct018_nytravel,50.0,87.0,44,2653.0,1.5
424,fct018_fliprow,50.0,87.0,2,290.0,1.5
425,fct018_grcolor2,50.0,87.0,2,301.0,1.5
