,Task,MaxPointInContest,ParticipantsNonZeroCount,ParticipantsAllCount,ACCount,TotalPointInContest,DifficultyMultiplier,ZeroRate
359,fc124_stevestring,50,51,82,9,550,1.5,0.37804878
366,fc125_beat,50,36,83,10,794,1.5,0.56626506
367,fc125_daohang,50,36,83,1,50,1.5,0.56626506
368,fc125_fear,50,36,83,10,570,1.5,0.56626506
369,fc125_gcdarr,50,36,83,14,1021,1.5,0.56626506
370,fc125_racingboy,50,36,83,0,30,1.5,0.56626506
379,fc126_atravel,50,111,160,13,1142,1.5,0.30625
380,fc126_candy,50,111,160,3,176,1.5,0.30625
378,fc126_k-number,50,111,160,45,2355,1.5,0.30625
377,fc126_kperm,50,111,160,60,3276,1.5,0.30625
376,fc126_letters,50,111,160,89,4970,1.5,0.30625
399,fc127_digits,50,77,158,7,378,1.5,0.512658228
398,fc127_discount,50,77,158,5,608,1.5,0.512658228
396,fc127_npyramid,50,77,158,56,2800,1.5,0.512658228
397,fc127_robot,50,77,158,29,2099,1.5,0.512658228
400,fc127_tanchan,50,77,158,9,965,1.5,0.512658228
408,fc128_lock,50,113,167,8,1008,1.5,0.323353293
409,fc128_sequenceweight,50,113,167,34,1815,1.5,0.323353293
410,fc128_signals,50,113,167,1,110,1.5,0.323353293
407,fc128_strict,50,113,167,54,2943,1.5,0.323353293
406,fc128_vsum,50,113,167,101,5370,1.5,0.323353293
263,fcb002_candy,50,81,118,62,3145,0.75,0.313559322
264,fcb002_demso,50,81,118,66,3325,0.75,0.313559322
261,fcb002_interactive,50,81,118,5,1050,0.75,0.313559322
262,fcb002_makerect,50,81,118,56,3084,0.75,0.313559322
265,fcb002_square,50,81,118,2,374,0.75,0.313559322
297,fcb015_binhluan,50,74,124,0,97,0.75,0.403225806
300,fcb015_char,50,74,124,71,3550,0.75,0.403225806
296,fcb015_cprefix,50,74,124,14,1405,0.75,0.403225806
298,fcb015_mdist,50,74,124,66,3300,0.75,0.403225806
299,fcb015_tabwalk,50,74,124,52,2880,0.75,0.403225806
326,fcb027_chess,50,43,65,1,55,0.75,0.338461538
329,fcb027_chiakeo,50,43,65,5,405,0.75,0.338461538
327,fcb027_dgame,50,43,65,1,104,0.75,0.338461538
330,fcb027_divcandy,50,43,65,43,2150,0.75,0.338461538
328,fcb027_tower,50,43,65,33,1675,0.75,0.338461538
355,fcb028_agrtree,50,105,196,12,1247,0.75,0.464285714
353,fcb028_bits,50,105,196,23,1981,0.75,0.464285714
351,fcb028_lagrange,50,105,196,70,3826,0.75,0.464285714
354,fcb028_nearest,50,105,196,35,2071,0.75,0.464285714
352,fcb028_vacuum,50,105,196,22,1692,0.75,0.464285714
361,fcb029_difnple,50,52,81,51,2570,0.75,0.358024691
364,fcb029_dmath,50,52,81,1,230,0.75,0.358024691
362,fcb029_prefix,50,52,81,50,2560,0.75,0.358024691
363,fcb029_replacesum,50,52,81,16,1325,0.75,0.358024691
365,fcb029_trinnum,50,52,81,4,349,0.75,0.358024691
375,fcb030_divisorpart,50,123,170,22,1745,0.75,0.276470588
372,fcb030_starf,50,123,170,98,4960,0.75,0.276470588
374,fcb030_strin,50,123,170,69,3483,0.75,0.276470588
371,fcb030_tribeau,50,123,170,110,5650,0.75,0.276470588
373,fcb030_unique,50,123,170,100,5240,0.75,0.276470588
390,fcb031_aid,50,119,181,5,260,0.75,0.342541436
387,fcb031_marec,50,119,181,96,5015,0.75,0.342541436
386,fcb031_present,50,119,181,93,4650,0.75,0.342541436
389,fcb031_sqfree,50,119,181,52,3550,0.75,0.342541436
388,fcb031_typing,50,119,181,80,4184,0.75,0.342541436
401,fcb032_calc,50,111,154,106,5405,0.75,0.279220779
405,fcb032_count,50,111,154,21,1612,0.75,0.279220779
403,fcb032_fnhouses,50,111,154,50,2754,0.75,0.279220779
402,fcb032_multitable,50,111,154,102,5110,0.75,0.279220779
404,fcb032_socola,50,111,154,61,3166,0.75,0.279220779
271,fcc2018_fccup18,100,221,273,220,22060,2,0.19047619
272,fcc2018_fliprow,100,221,273,18,4240,2,0.19047619
273,fcc2018_purple,100,221,273,4,2425,2,0.19047619
