Task,MaxPointInContest,ParticipantsCount,ACCount,TotalPointInContest,DifficultyMultiplier,VNOJAC,ContestACRate,ContestPointRate,ZeroRate,ParticipantsAllCount,NormalizedParticipatantsCount,NormACRate,NormPointRate,VNOJOriginal,VNOJAdjusted,JRating
fc046_ksmallestsums,50,25,7,492,1.5,4,0.2800,0.3936,0.583333333,60,51,0.1366,0.1920,0.91,0.91,
fc046_number,50,25,0,599,1.5,0,0.0000,0.4792,0.583333333,60,51,0.0000,0.2338,0.75,0.75,
fc047_eating,50,37,0,123,1.5,,0.0000,0.0665,0.412698413,63,54,0.0000,0.0457,,,
fc047_fibonacci,50,37,28,1432,1.5,,0.7568,0.7741,0.412698413,63,54,0.5204,0.5323,,,
fc047_frogjumps,50,37,16,864,1.5,,0.4324,0.4670,0.412698413,63,54,0.2974,0.3211,,,
fc047_luckynum,50,37,0,48,1.5,,0.0000,0.0259,0.412698413,63,54,0.0000,0.0178,,,
fc047_powerfularray,50,37,1,250,1.5,,0.0270,0.1351,0.412698413,63,54,0.0186,0.0929,,,
fc048_bamboos,50,25,4,345,1.5,0,0.1600,0.2760,0.626865672,67,57,0.0699,0.1206,1.09,1.09,
fc048_gravels,50,25,3,180,1.5,6,0.1200,0.1440,0.626865672,67,57,0.0524,0.0629,1.28,1.28,
fc048_hamming,50,25,14,834,1.5,28,0.5600,0.6672,0.626865672,67,57,0.2446,0.2915,0.5,,
fc048_insertar,50,25,13,685,1.5,1,0.5200,0.5480,0.626865672,67,57,0.2272,0.2394,0.68,0.68,
fc048_testlist1,50,25,0,39,1.5,0,0.0000,0.0312,0.626865672,67,57,0.0000,0.0136,1.42,1.42,
fc049_bimat,50,50,45,2319,1.5,,0.9000,0.9276,0.438202247,89,76,0.5920,0.6101,,,
fc049_class,50,50,31,1574,1.5,,0.6200,0.6296,0.438202247,89,76,0.4078,0.4141,,,
fc049_estimation,50,50,1,65,1.5,,0.0200,0.0260,0.438202247,89,76,0.0132,0.0171,,,
fc049_numbers,50,50,1,302,1.5,,0.0200,0.1208,0.438202247,89,76,0.0132,0.0795,,,
fc049_repeatstring,50,50,17,993,1.5,,0.3400,0.3972,0.438202247,89,76,0.2236,0.2613,,,
fc049_vang,50,50,12,785,1.5,,0.2400,0.3140,0.438202247,89,76,0.1579,0.2065,,,
fc051_anagram,50,56,5,446,1.5,15,0.0893,0.1593,0.416666667,96,82,0.0610,0.1088,1.26,1.26,
fc051_archery,50,56,17,1910,1.5,10,0.3036,0.6821,0.416666667,96,82,0.2073,0.4659,0.48,0.48,
fc051_dfs,50,56,10,600,1.5,7,0.1786,0.2143,0.416666667,96,82,0.1220,0.1464,1.18,1.18,
fc051_house,50,56,48,2662,1.5,118,0.8571,0.9507,0.416666667,96,82,0.5854,0.6493,0.31,0.31,
fc051_lamp,50,56,54,2700,1.5,87,0.9643,0.9643,0.416666667,96,82,0.6586,0.6586,0.31,0.31,
fc052_chess,50,40,20,1070,1.5,10,0.5000,0.5350,0.5,80,68,0.2927,0.3132,0.7,,
fc052_circles,50,40,7,368,1.5,4,0.1750,0.1840,0.5,80,68,0.1024,0.1077,1.22,1.22,
fc052_dicegame,50,40,28,1530,1.5,18,0.7000,0.7650,0.5,80,68,0.4098,0.4478,0.35,0.35,
fc052_photo,50,40,8,425,1.5,23,0.2000,0.2125,0.5,80,68,0.1171,0.1244,1.18,1.18,
fc052_trontim,50,40,5,381,1.5,2,0.1250,0.1905,0.5,80,68,0.0732,0.1115,1.21,1.21,
fc053_evenup,50,38,23,1405,1.5,70,0.6053,0.7395,0.573033708,89,76,0.3026,0.3697,0.39,0.39,
fc053_fj,50,38,5,515,1.5,3,0.1316,0.2711,0.573033708,89,76,0.0658,0.1355,1.09,1.09,
fc053_mixture,50,38,1,132,1.5,0,0.0263,0.0695,0.573033708,89,76,0.0132,0.0347,1.4,1.4,
fc053_ps,50,38,23,1200,1.5,7,0.6053,0.6316,0.573033708,89,76,0.3026,0.3157,0.55,0.55,
fc053_sequences,50,38,3,171,1.5,3,0.0789,0.0900,0.573033708,89,76,0.0395,0.0450,1.36,1.36,
fc054_doikhang,50,71,6,459,1.5,15,0.0845,0.1293,0.449612403,129,110,0.0545,0.0833,1.31,1.31,
fc054_eightcircles,50,71,17,995,1.5,7,0.2394,0.2803,0.449612403,129,110,0.1543,0.1806,1.08,1.08,
fc054_industrialspy,50,71,23,1185,1.5,17,0.3239,0.3338,0.449612403,129,110,0.2088,0.2151,1,1,
fc054_power3,50,71,42,3191,1.5,40,0.5915,0.8989,0.449612403,129,110,0.3812,0.5792,0.32,0.32,
fc055_divinat,50,56,34,2408,1.5,73,0.6071,0.8600,0.416666667,96,82,0.4147,0.5874,0.32,0.32,
fc055_laky,50,56,7,365,1.5,0,0.1250,0.1304,0.416666667,96,82,0.0854,0.0890,1.3,1.3,
fc055_mersenne,50,56,43,2452,1.5,70,0.7679,0.8757,0.416666667,96,82,0.5244,0.5981,0.32,0.32,
fc055_pairs,50,56,20,1361,1.5,11,0.3571,0.4861,0.416666667,96,82,0.2439,0.3320,0.77,0.77,
fc055_tretrau,50,56,10,832,1.5,5,0.1786,0.2971,0.416666667,96,82,0.1220,0.2029,1.05,1.05,
fc057_canvas,50,59,2,131,1.5,1,0.0339,0.0444,0.48245614,114,97,0.0205,0.0269,1.43,1.43,
fc057_hainao,50,59,0,201,1.5,0,0.0000,0.0681,0.48245614,114,97,0.0000,0.0413,1.3,1.3,
fc057_knumber,50,59,54,2740,1.5,157,0.9153,0.9288,0.48245614,114,97,0.5546,0.5628,0.31,0.31,
fc057_subseq,50,59,8,619,1.5,82,0.1356,0.2098,0.48245614,114,97,0.0822,0.1271,1.19,1.19,
fc057_thupham,50,59,2,166,1.5,3,0.0339,0.0563,0.48245614,114,97,0.0205,0.0341,1.42,1.42,
fc058_canvas,50,59,2,131,1.5,,0.0339,0.0444,0.48245614,114,97,0.0205,0.0269,,,
fc058_hainao,50,59,0,201,1.5,,0.0000,0.0681,0.48245614,114,97,0.0000,0.0413,,,
fc058_knumber,50,59,54,2740,1.5,,0.9153,0.9288,0.48245614,114,97,0.5546,0.5628,,,
fc058_subseq,50,59,8,619,1.5,,0.1356,0.2098,0.48245614,114,97,0.0822,0.1271,,,
fc058_thupham,50,59,2,166,1.5,,0.0339,0.0563,0.48245614,114,97,0.0205,0.0341,,,
fc060_cntfri,50,52,16,1135,1.5,14,0.3077,0.4365,0.504761905,105,90,0.1784,0.2531,0.85,0.85,
fc060_cross,50,52,7,390,1.5,4,0.1346,0.1500,0.504761905,105,90,0.0781,0.0870,1.27,1.27,
fc060_kenre,50,52,11,685,1.5,2,0.2115,0.2635,0.504761905,105,90,0.1227,0.1528,0.8,,
